TR,A,L,T,IPF (kN),EA (J),Mass (kg),SEA (J/kg)
1.0,120.00,300,2.0,117.97,1998.57,2.19,912.58
1.0,120.00,300,3.5,117.98,5123.47,3.39,1509.78
1.0,120.00,300,5.0,117.98,8401.15,4.60,1827.51
1.0,120.00,400,2.0,120.43,2147.37,2.17,990.01
1.0,120.00,400,3.5,120.45,5008.17,3.21,1559.95
1.0,120.00,400,5.0,120.46,7927.35,4.25,1864.43
1.0,120.00,500,2.0,122.06,2288.24,2.17,1052.09
1.0,120.00,500,3.5,122.07,4563.28,3.07,1484.25
1.0,120.00,500,5.0,122.07,7896.21,3.97,1986.98
1.0,140.00,300,2.0,139.77,2466.12,2.57,958.34
1.0,140.00,300,3.5,139.78,7401.20,3.99,1854.42
1.0,140.00,300,5.0,139.78,9075.01,5.41,1677.79
1.0,140.00,400,2.0,140.77,2331.11,2.55,913.12
1.0,140.00,400,3.5,140.79,5786.59,3.78,1528.95
1.0,140.00,400,5.0,140.80,9045.84,5.02,1803.24
1.0,140.00,500,2.0,142.69,2779.71,2.57,1083.41
1.0,140.00,500,3.5,142.70,5357.78,3.64,1473.40
1.0,140.00,500,5.0,142.70,9402.01,4.71,1997.47
1.0,160.00,300,2.0,162.15,2714.76,2.96,916.34
1.0,160.00,300,3.5,162.16,9118.22,4.60,1982.57
1.0,160.00,300,5.0,162.16,9970.67,6.24,1598.94
1.0,160.00,400,2.0,162.45,2638.20,2.94,896.12
1.0,160.00,400,3.5,162.45,6342.32,4.37,1450.81
1.0,160.00,400,5.0,162.45,9446.88,5.80,1629.02
1.0,160.00,500,2.0,163.18,3287.14,2.97,1108.49
1.0,160.00,500,3.5,163.20,6023.34,4.21,1429.40
1.0,160.00,500,5.0,163.21,9496.26,5.46,1738.49
1.5,120.00,300,2.0,85.01,2036.68,1.97,1032.14
1.5,120.00,300,3.5,85.01,5366.56,3.11,1725.17
1.5,120.00,300,5.0,85.01,6764.31,4.25,1592.26
1.5,120.00,400,2.0,84.53,2000.33,1.94,1030.23
1.5,120.00,400,3.5,84.53,4686.50,2.94,1596.42
1.5,120.00,400,5.0,84.53,7165.32,3.93,1823.40
1.5,120.00,500,2.0,84.16,2220.98,1.94,1147.60
1.5,120.00,500,3.5,84.16,4485.57,2.80,1600.86
1.5,120.00,500,5.0,81.37,7144.61,3.67,1947.50
1.5,140.00,300,2.0,97.38,2306.79,2.32,994.53
1.5,140.00,300,3.5,97.38,6324.95,3.66,1728.38
1.5,140.00,300,5.0,97.38,7765.56,5.00,1553.29
1.5,140.00,400,2.0,96.90,2218.70,2.29,970.32
1.5,140.00,400,3.5,96.90,5887.22,3.46,1700.43
1.5,140.00,400,5.0,96.90,7489.99,4.64,1614.98
1.5,140.00,500,2.0,97.28,2613.88,2.29,1143.90
1.5,140.00,500,3.5,97.28,5286.23,3.32,1593.93
1.5,140.00,500,5.0,97.28,7635.27,4.35,1756.09
1.5,160.00,300,2.0,110.41,2503.16,2.67,936.99
1.5,160.00,300,3.5,110.41,8141.96,4.22,1930.19
1.5,160.00,300,5.0,110.41,8227.92,5.76,1427.23
1.5,160.00,400,2.0,110.23,2511.35,2.64,951.79
1.5,160.00,400,3.5,110.23,7226.83,4.00,1806.28
1.5,160.00,400,5.0,110.23,7776.29,5.36,1449.89
1.5,160.00,500,2.0,110.94,3073.48,2.64,1162.64
1.5,160.00,500,3.5,110.94,6214.83,3.85,1615.85
1.5,160.00,500,5.0,110.94,8071.89,5.05,1598.78
2.0,120.00,300,2.0,65.89,1950.40,1.87,1045.70
2.0,120.00,300,3.5,65.89,6720.17,2.97,2262.85
2.0,120.00,300,5.0,65.89,6311.40,4.07,1549.04
2.0,120.00,400,2.0,65.44,1974.03,1.83,1079.78
2.0,120.00,400,3.5,65.44,5689.18,2.80,2032.86
2.0,120.00,400,5.0,65.44,6610.35,3.77,1753.86
2.0,120.00,500,2.0,65.23,2099.11,1.82,1156.05
2.0,120.00,500,3.5,65.23,4455.45,2.67,1671.17
2.0,120.00,500,5.0,65.23,6483.22,3.52,1843.73
2.0,140.00,300,2.0,77.18,2291.44,2.19,1044.86
2.0,140.00,300,3.5,77.18,6864.63,3.49,1964.51
2.0,140.00,300,5.0,77.18,6841.16,4.80,1426.54
2.0,140.00,400,2.0,76.72,2443.07,2.15,1134.28
2.0,140.00,400,3.5,76.72,6960.81,3.30,2108.33
2.0,140.00,400,5.0,76.72,6975.74,4.45,1567.83
2.0,140.00,500,2.0,76.51,2439.39,2.15,1137.15
2.0,140.00,500,3.5,76.51,5538.35,3.16,1754.24
2.0,140.00,500,5.0,76.51,6838.28,4.17,1640.24
2.0,160.00,300,2.0,85.08,2533.61,2.53,1002.77
2.0,160.00,300,3.5,85.08,7147.87,4.03,1774.24
2.0,160.00,300,5.0,85.08,7082.74,5.53,1280.60
2.0,160.00,400,2.0,86.54,2448.13,2.49,984.60
2.0,160.00,400,3.5,86.54,7142.57,3.82,1871.49
2.0,160.00,400,5.0,86.54,7411.25,5.15,1440.03
2.0,160.00,500,2.0,86.72,2716.66,2.48,1094.04
2.0,160.00,500,3.5,86.72,6429.64,3.66,1755.26
2.0,160.00,500,5.0,86.72,7307.19,4.84,1508.81
